Number,Year,Month,Day,Hour,Minute,Temp,Salinity
429,2019,6,9,2,10,8.105,35.0669
430,2019,6,9,2,15,8.104,35.0679
431,2019,6,9,2,20,8.106,35.0679
432,2019,6,9,2,25,8.106,35.0699
433,2019,6,9,2,30,8.106,35.0689
434,2019,6,9,2,35,8.107,35.0689
435,2019,6,9,2,40,8.109,35.0699
436,2019,6,9,2,45,8.109,35.0699
437,2019,6,9,2,50,8.11,35.0699
438,2019,6,9,2,55,8.109,35.0659
439,2019,6,9,3,0,8.104,35.0629
440,2019,6,9,3,5,8.102,35.0619
441,2019,6,9,3,10,8.103,35.0609
442,2019,6,9,3,15,8.101,35.0639
443,2019,6,9,3,20,8.103,35.0629
444,2019,6,9,3,25,8.103,35.0639
445,2019,6,9,3,30,8.101,35.0629
446,2019,6,9,3,35,8.1,35.0629
447,2019,6,9,3,40,8.1,35.0629
448,2019,6,9,3,45,8.101,35.0639
449,2019,6,9,3,50,8.101,35.0659
450,2019,6,9,3,55,8.103,35.0669
451,2019,6,9,4,0,8.104,35.0659
452,2019,6,9,4,5,8.103,35.0659
453,2019,6,9,4,10,8.103,35.0669
454,2019,6,9,4,15,8.105,35.0669
455,2019,6,9,4,20,8.105,35.0669
456,2019,6,9,4,25,8.106,35.0689
457,2019,6,9,4,30,8.106,35.0679
458,2019,6,9,4,35,8.107,35.0679
459,2019,6,9,4,40,8.108,35.0679
460,2019,6,9,4,45,8.109,35.0679
461,2019,6,9,4,50,8.11,35.0679
462,2019,6,9,4,55,8.11,35.0669
463,2019,6,9,5,0,8.112,35.0669
464,2019,6,9,5,5,8.113,35.0689
465,2019,6,9,5,10,8.114,35.0709
466,2019,6,9,5,15,8.115,35.0719
467,2019,6,9,5,20,8.115,35.0709
468,2019,6,9,5,25,8.116,35.0709
469,2019,6,9,5,30,8.118,35.0719
470,2019,6,9,5,35,8.117,35.0719
471,2019,6,9,5,40,8.117,35.0729
472,2019,6,9,5,45,8.116,35.0729
473,2019,6,9,5,50,8.116,35.0719
474,2019,6,9,5,55,8.116,35.0709
475,2019,6,9,6,0,8.115,35.0719
476,2019,6,9,6,5,8.115,35.0719
477,2019,6,9,6,10,8.113,35.0729
478,2019,6,9,6,15,8.114,35.0709
479,2019,6,9,6,20,8.112,35.0709
480,2019,6,9,6,25,8.111,35.0709
481,2019,6,9,6,30,8.112,35.0709
482,2019,6,9,6,35,8.112,35.0709
483,2019,6,9,6,40,8.112,35.0709
484,2019,6,9,6,45,8.112,35.0709
485,2019,6,9,6,50,8.112,35.0709
486,2019,6,9,6,55,8.114,35.0729
487,2019,6,9,7,0,8.112,35.0729
488,2019,6,9,7,5,8.116,35.0719
489,2019,6,9,7,10,8.115,35.0719
490,2019,6,9,7,15,8.116,35.0719
491,2019,6,9,7,20,8.116,35.0719
492,2019,6,9,7,25,8.117,35.0709
493,2019,6,9,7,30,8.118,35.0699
494,2019,6,9,7,35,8.115,35.0729
495,2019,6,9,7,40,8.114,35.0739
496,2019,6,9,7,45,8.115,35.0749
497,2019,6,9,7,50,8.112,35.0759
498,2019,6,9,7,55,8.113,35.0749
499,2019,6,9,8,0,8.11,35.0769
500,2019,6,9,8,5,8.11,35.0759
501,2019,6,9,8,10,8.108,35.0769
502,2019,6,9,8,15,8.107,35.0769
503,2019,6,9,8,20,8.109,35.0759
504,2019,6,9,8,25,8.108,35.0769
505,2019,6,9,8,30,8.107,35.0769
506,2019,6,9,8,35,8.108,35.0769
507,2019,6,9,8,40,8.109,35.0769
508,2019,6,9,8,45,8.109,35.0769
509,2019,6,9,8,50,8.109,35.0769
510,2019,6,9,8,55,8.111,35.0769
511,2019,6,9,9,0,8.111,35.0779
512,2019,6,9,9,5,8.112,35.0769
513,2019,6,9,9,10,8.111,35.0769
514,2019,6,9,9,15,8.111,35.0779
515,2019,6,9,9,20,8.111,35.0779
516,2019,6,9,9,25,8.11,35.0779
517,2019,6,9,9,30,8.111,35.0779
518,2019,6,9,9,35,8.11,35.0779
519,2019,6,9,9,40,8.111,35.0769
520,2019,6,9,9,45,8.111,35.0779
521,2019,6,9,9,50,8.111,35.0769
522,2019,6,9,9,55,8.111,35.0779
523,2019,6,9,10,0,8.112,35.0769
524,2019,6,9,10,5,8.114,35.0769
525,2019,6,9,10,10,8.116,35.0759
526,2019,6,9,10,15,8.114,35.0779
527,2019,6,9,10,20,8.115,35.0779
528,2019,6,9,10,25,8.115,35.0779
529,2019,6,9,10,30,8.116,35.0779
530,2019,6,9,10,35,8.117,35.0769
531,2019,6,9,10,40,8.116,35.0779
532,2019,6,9,10,45,8.116,35.0769
533,2019,6,9,10,50,8.118,35.0769
534,2019,6,9,10,55,8.119,35.0779
535,2019,6,9,11,0,8.12,35.0769
536,2019,6,9,11,5,8.122,35.0759
537,2019,6,9,11,10,8.124,35.0769
538,2019,6,9,11,15,8.126,35.0769
539,2019,6,9,11,20,8.127,35.0769
540,2019,6,9,11,25,8.128,35.0759
541,2019,6,9,11,30,8.127,35.0769
542,2019,6,9,11,35,8.13,35.0769
543,2019,6,9,11,40,8.134,35.0769
544,2019,6,9,11,45,8.135,35.0769
545,2019,6,9,11,50,8.135,35.0769
546,2019,6,9,11,55,8.137,35.0739
547,2019,6,9,12,0,8.138,35.0729
548,2019,6,9,12,5,8.138,35.0759
549,2019,6,9,12,10,8.138,35.0749
550,2019,6,9,12,15,8.138,35.0759
551,2019,6,9,12,20,8.139,35.0749
552,2019,6,9,12,25,8.138,35.0759
553,2019,6,9,12,30,8.137,35.0759
554,2019,6,9,12,35,8.137,35.0749
555,2019,6,9,12,40,8.136,35.0749
556,2019,6,9,12,45,8.135,35.0749
557,2019,6,9,12,50,8.135,35.0749
558,2019,6,9,12,55,8.135,35.0749
559,2019,6,9,13,0,8.135,35.0729
560,2019,6,9,13,5,8.136,35.0719
561,2019,6,9,13,10,8.138,35.0719
562,2019,6,9,13,15,8.14,35.0729
563,2019,6,9,13,20,8.143,35.0729
564,2019,6,9,13,25,8.144,35.0729
565,2019,6,9,13,30,8.143,35.0739
566,2019,6,9,13,35,8.142,35.0739
567,2019,6,9,13,40,8.143,35.0749
568,2019,6,9,13,45,8.143,35.0739
569,2019,6,9,13,50,8.142,35.0739
570,2019,6,9,13,55,8.142,35.0729
571,2019,6,9,14,0,8.141,35.0729
572,2019,6,9,14,5,8.14,35.0739
573,2019,6,9,14,10,8.14,35.0739
574,2019,6,9,14,15,8.14,35.0749
575,2019,6,9,14,20,8.143,35.0749
576,2019,6,9,14,25,8.143,35.0749
577,2019,6,9,14,30,8.147,35.0719
578,2019,6,9,14,35,8.148,35.0699
579,2019,6,9,14,40,8.151,35.0689
580,2019,6,9,14,45,8.155,35.0669
581,2019,6,9,14,50,8.157,35.0669
